YEAR,no_people,no_people_scaled,no_income,no_income_scaled,tot_income,tot_income_scaled,avg_income,avg_calc_income,median_income
1977,3872,3872000,3326,3326000,160850,160850000000,48400,41541.8388429752,45800
1978,3979,3979000,3422,3422000,164408,164408000000,48000,41318.9243528525,45400
1979,4101,4101000,3545,3545000,171845,171845000000,48500,41903.1943428432,45600
1980,4223,4223000,3710,3710000,179859,179859000000,48500,42590.3386218328,46100
1981,4310,4310000,3876,3876000,181151,181151000000,46700,42030.3944315545,43800
1982,4387,4387000,3985,3985000,177503,177503000000,44500,40461.1351720994,41300
1983,4466,4466000,4072,4072000,177612,177612000000,43600,39769.816390506,40200
1984,4553,4553000,4161,4161000,181670,181670000000,43700,39901.1640676477,39700
1985,4638,4638000,4287,4287000,188024,188024000000,43900,40539.8878827081,39900
1986,4722,4722000,4374,4374000,193582,193582000000,44300,40995.764506565,40400
1987,4810,4810000,4495,4495000,196262,196262000000,43700,40802.9106029106,39900
1988,4882,4882000,4590,4590000,205137,205137000000,44700,42019.0495698484,40200
1989,4927,4927000,4660,4660000,208361,208361000000,44700,42289.6285772275,40300
1990,4938,4938000,4687,4687000,202270,202270000000,43200,40961.9279060348,39200
1991,4911,4911000,4639,4639000,193110,193110000000,41600,39321.9303604154,37400
1992,4857,4857000,4573,4573000,191317,191317000000,41800,39389.952645666,37400
1993,4783,4783000,4558,4558000,184346,184346000000,40400,38541.919297512,35700
1994,4711,4711000,4495,4495000,183907,183907000000,40900,39037.7839099979,36200
1995,4639,4639000,4431,4431000,178560,178560000000,40300,38491.0541064885,35700
1996,4557,4557000,4445,4445000,174830,174830000000,39300,38365.1525126179,34000
1997,4454,4454000,4374,4374000,175469,175469000000,40100,39395.8239784463,34500
1998,4333,4333000,4298,4298000,176694,176694000000,41100,40778.6752827141,35100
1999,4245,4245000,4198,4198000,175253,175253000000,41700,41284.5700824499,36600
2000,4210,4210000,4177,4177000,181528,181528000000,43500,43118.2897862233,38300
2001,4220,4220000,4186,4186000,185372,185372000000,44300,43927.0142180095,38300
2002,4235,4235000,4205,4205000,189611,189611000000,45100,44772.373081464,38500
2003,4255,4255000,4228,4228000,183458,183458000000,43400,43115.8636897767,37800
2004,4284,4284000,4253,4253000,191138,191138000000,44900,44616.7133520075,39000
2005,4325,4325000,4274,4274000,190724,190724000000,44600,44098.0346820809,38900
2006,4264,4264000,4220,4220000,191092,191092000000,45300,44815.1969981238,39400
2007,4325,4325000,4304,4304000,194996,194996000000,45300,45085.7803468208,39500
2008,4407,4407000,4380,4380000,205363,205363000000,46900,46599.2738824597,41600
2009,4489,4489000,4456,4456000,204005,204005000000,45800,45445.5335263979,40200
2010,4556,4556000,4527,4527000,210185,210185000000,46400,46133.6698858648,40500
2011,4616,4616000,4587,4587000,213335,213335000000,46500,46216.4211438475,40700
2012,4651,4651000,4608,4608000,211006,211006000000,45800,45367.8778757257,39800
2013,4706,4706000,4654,4654000,218723,218723000000,47000,46477.4755631109,40200
2014,4753,4753000,4712,4712000,215730,215730000000,45800,45388.1758889123,39100
2015,4789,4789000,4748,4748000,228326,228326000000,48100,47677.1768636459,41600
2016,4857,4857000,4795,4795000,230715,230715000000,48100,47501.5441630636,41100
2017,4942,4942000,4881,4881000,234137,234137000000,48000,47376.9728854715,41600
2018,5047,5047000,4987,4987000,241993,241993000000,48500,47947.8898355459,42000
2019,5149,5149000,5104,5104000,250097,250097000000,49000,48571.9557195572,43500
2020,5162,5162000,5139,5139000,266518,266518000000,51900,51630.7632700504,44700
2021,5228,5228000,5184,5184000,277133,277133000000,53500,53009.3726090283,46900
