"Gross domestic product, expenditure-based, Canada, quarterly (x 1,000,000)"
"Frequency: Quarterly"
"Table: 36-10-0104-01 (formerly CANSIM 380-0064)"
"Release date: 2023-02-28"
"Geography: Canada"
""
""

"Prices","Chained (2012) dollars",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Seasonal adjustment","Seasonally adjusted at annual rates",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Geography","Canada",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Estimates","Q1 1961","Q2 1961","Q3 1961","Q4 1961","Q1 1962","Q2 1962","Q3 1962","Q4 1962","Q1 1963","Q2 1963","Q3 1963","Q4 1963","Q1 1964","Q2 1964","Q3 1964","Q4 1964","Q1 1965","Q2 1965","Q3 1965","Q4 1965","Q1 1966","Q2 1966","Q3 1966","Q4 1966","Q1 1967","Q2 1967","Q3 1967","Q4 1967","Q1 1968","Q2 1968","Q3 1968","Q4 1968","Q1 1969","Q2 1969","Q3 1969","Q4 1969","Q1 1970","Q2 1970","Q3 1970","Q4 1970","Q1 1971","Q2 1971","Q3 1971","Q4 1971","Q1 1972","Q2 1972","Q3 1972","Q4 1972","Q1 1973","Q2 1973","Q3 1973","Q4 1973","Q1 1974","Q2 1974","Q3 1974","Q4 1974","Q1 1975","Q2 1975","Q3 1975","Q4 1975","Q1 1976","Q2 1976","Q3 1976","Q4 1976","Q1 1977","Q2 1977","Q3 1977","Q4 1977","Q1 1978","Q2 1978","Q3 1978","Q4 1978","Q1 1979","Q2 1979","Q3 1979","Q4 1979","Q1 1980","Q2 1980","Q3 1980","Q4 1980","Q1 1981","Q2 1981","Q3 1981","Q4 1981","Q1 1982","Q2 1982","Q3 1982","Q4 1982","Q1 1983","Q2 1983","Q3 1983","Q4 1983","Q1 1984","Q2 1984","Q3 1984","Q4 1984","Q1 1985","Q2 1985","Q3 1985","Q4 1985","Q1 1986","Q2 1986","Q3 1986","Q4 1986","Q1 1987","Q2 1987","Q3 1987","Q4 1987","Q1 1988","Q2 1988","Q3 1988","Q4 1988","Q1 1989","Q2 1989","Q3 1989","Q4 1989","Q1 1990","Q2 1990","Q3 1990","Q4 1990","Q1 1991","Q2 1991","Q3 1991","Q4 1991","Q1 1992","Q2 1992","Q3 1992","Q4 1992","Q1 1993","Q2 1993","Q3 1993","Q4 1993","Q1 1994","Q2 1994","Q3 1994","Q4 1994","Q1 1995","Q2 1995","Q3 1995","Q4 1995","Q1 1996","Q2 1996","Q3 1996","Q4 1996","Q1 1997","Q2 1997","Q3 1997","Q4 1997","Q1 1998","Q2 1998","Q3 1998","Q4 1998","Q1 1999","Q2 1999","Q3 1999","Q4 1999","Q1 2000","Q2 2000","Q3 2000","Q4 2000","Q1 2001","Q2 2001","Q3 2001","Q4 2001","Q1 2002","Q2 2002","Q3 2002","Q4 2002","Q1 2003","Q2 2003","Q3 2003","Q4 2003","Q1 2004","Q2 2004","Q3 2004","Q4 2004","Q1 2005","Q2 2005","Q3 2005","Q4 2005","Q1 2006","Q2 2006","Q3 2006","Q4 2006","Q1 2007","Q2 2007","Q3 2007","Q4 2007","Q1 2008","Q2 2008","Q3 2008","Q4 2008","Q1 2009","Q2 2009","Q3 2009","Q4 2009","Q1 2010","Q2 2010","Q3 2010","Q4 2010","Q1 2011","Q2 2011","Q3 2011","Q4 2011","Q1 2012","Q2 2012","Q3 2012","Q4 2012","Q1 2013","Q2 2013","Q3 2013","Q4 2013","Q1 2014","Q2 2014","Q3 2014","Q4 2014","Q1 2015","Q2 2015","Q3 2015","Q4 2015","Q1 2016","Q2 2016","Q3 2016","Q4 2016","Q1 2017","Q2 2017","Q3 2017","Q4 2017","Q1 2018","Q2 2018","Q3 2018","Q4 2018","Q1 2019","Q2 2019","Q3 2019","Q4 2019","Q1 2020","Q2 2020","Q3 2020","Q4 2020","Q1 2021","Q2 2021","Q3 2021","Q4 2021","Q1 2022","Q2 2022","Q3 2022","Q4 2022"
,"Dollars",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Final consumption expenditure","273,818","278,206","285,943","286,460","292,281","296,000","294,279","299,519","302,368","306,697","309,400","313,958","322,194","321,707","326,224","330,119","333,609","340,123","345,422","352,577","356,079","359,815","366,988","369,702","372,269","381,310","381,398","387,977","391,819","394,939","403,286","409,108","415,870","416,574","419,805","425,298","426,514","433,088","436,213","441,747","437,682","453,026","462,449","471,260","470,274","480,630","486,423","496,703","505,668","509,674","513,363","525,659","535,181","541,543","545,174","542,718","552,441","562,686","571,762","578,453","577,689","590,249","590,977","601,510","603,173","605,981","610,992","616,273","619,111","623,258","625,860","627,570","633,597","636,605","636,088","638,649","642,914","643,361","653,788","656,161","658,323","657,303","656,993","658,411","649,659","647,902","647,861","646,843","649,730","658,714","666,215","671,440","675,861","680,933","683,788","694,784","704,209","710,527","718,450","728,899","728,446","732,977","742,339","741,533","748,217","758,466","761,500","770,681","776,933","786,820","791,323","798,824","803,854","814,573","815,611","819,105","832,886","823,523","829,071","829,875","816,927","831,142","829,116","834,445","835,026","836,066","839,140","845,308","846,058","849,308","850,339","851,661","857,884","861,942","864,864","870,778","870,267","874,333","879,218","877,213","886,078","887,290","886,329","897,631","910,899","914,847","924,196","928,854","935,702","941,611","946,486","947,892","960,876","969,659","982,490","989,857","1,000,622","1,009,895","1,020,682","1,023,987","1,033,309","1,038,070","1,040,941","1,050,801","1,064,473","1,075,690","1,080,134","1,090,179","1,096,923","1,104,771","1,112,644","1,115,942","1,128,298","1,131,448","1,141,823","1,150,460","1,160,909","1,169,485","1,177,147","1,188,951","1,202,502","1,213,737","1,224,237","1,235,372","1,243,787","1,259,029","1,272,261","1,289,759","1,300,854","1,310,237","1,311,008","1,304,807","1,301,677","1,311,681","1,322,695","1,331,647","1,345,683","1,353,657","1,362,887","1,374,952","1,377,445","1,383,447","1,389,429","1,396,291","1,402,483","1,402,851","1,411,453","1,416,718","1,419,536","1,427,288","1,436,512","1,445,150","1,449,264","1,457,471","1,465,610","1,472,490","1,479,639","1,485,881","1,496,399","1,503,684","1,508,398","1,517,920","1,525,435","1,534,207","1,550,415","1,565,408","1,578,875","1,589,953","1,602,008","1,612,596","1,620,793","1,623,998","1,628,150","1,629,833","1,638,891","1,651,833","1,624,888","1,444,777","1,597,839","1,610,203","1,624,927","1,623,089","1,680,135","1,687,843","1,697,393","1,721,609","1,726,223","1,735,332"
"Household final consumption expenditure","182,300","185,701","190,235","190,957","195,357","196,473","195,639","199,205","200,555","204,195","205,380","208,914","212,841","213,447","217,667","219,213","221,211","226,542","230,235","234,938","236,469","237,686","242,080","242,165","244,424","248,909","248,601","253,591","256,291","257,476","262,413","266,101","272,191","270,963","273,525","276,915","274,285","276,262","281,571","284,175","282,331","292,045","298,513","304,991","306,053","313,674","316,119","323,309","332,008","334,325","336,786","342,748","352,240","353,940","355,566","351,331","359,063","363,495","369,989","376,319","376,079","385,820","387,271","395,211","393,760","392,777","398,904","402,651","405,568","408,284","410,197","411,345","417,074","417,084","418,243","419,295","422,032","420,390","427,591","430,014","430,710","430,309","428,039","429,061","422,690","419,347","417,718","416,226","422,142","427,407","432,555","437,255","441,559","446,141","446,624","454,380","459,695","463,876","473,078","477,946","477,242","482,968","489,669","489,913","494,896","502,956","507,406","512,895","516,028","523,449","526,742","533,377","537,195","544,116","542,312","545,852","554,046","547,349","547,376","545,467","534,089","543,037","542,556","545,614","545,600","547,725","550,621","552,618","555,603","557,725","561,534","563,122","572,744","573,588","576,082","582,772","582,490","586,815","593,048","593,009","600,893","601,632","603,551","613,979","623,617","628,444","636,756","641,220","641,880","650,067","653,632","655,070","664,192","670,392","678,376","684,957","692,463","698,483","707,365","708,579","714,392","715,537","717,183","725,892","736,646","745,602","747,115","754,630","758,664","765,296","772,438","773,882","784,209","788,114","795,440","801,861","813,035","820,058","825,517","833,352","845,036","852,667","862,048","870,951","878,693","891,981","900,362","916,872","924,095","925,145","925,694","914,495","911,646","919,610","929,661","936,029","946,496","954,546","962,245","970,991","972,728","977,054","981,039","987,066","992,771","993,919","1,000,006","1,005,516","1,011,863","1,021,213","1,028,792","1,035,215","1,038,695","1,048,213","1,055,843","1,063,496","1,065,536","1,070,760","1,078,753","1,086,341","1,086,985","1,091,277","1,098,903","1,107,216","1,119,347","1,134,136","1,144,486","1,151,676","1,159,463","1,165,460","1,172,344","1,172,238","1,178,479","1,180,682","1,185,807","1,193,992","1,166,621","1,003,000","1,133,590","1,136,735","1,142,579","1,136,728","1,191,441","1,195,266","1,201,384","1,228,311","1,227,135","1,233,374"
"Goods","81,917","84,173","86,512","86,200","89,920","90,311","89,634","92,000","92,606","94,594","94,836","96,964","99,026","99,013","101,414","102,166","103,173","105,982","108,111","110,467","111,180","111,184","113,664","113,444","115,010","118,641","118,466","119,648","120,488","121,130","123,408","124,938","128,706","127,950","129,120","131,318","129,744","130,091","133,912","136,709","135,284","140,354","144,316","149,430","149,786","154,271","155,168","160,598","165,576","166,921","168,117","171,934","178,332","178,820","179,901","175,183","179,941","182,962","186,704","191,101","188,212","194,236","193,906","199,081","196,738","195,436","199,051","201,733","202,546","204,520","205,215","206,169","210,215","209,823","210,865","210,100","210,311","207,981","212,633","213,838","215,069","213,145","211,478","213,024","206,648","205,219","204,286","202,905","206,240","209,231","212,523","215,499","217,652","221,267","220,926","224,519","227,589","230,212","235,412","238,482","236,366","238,466","243,388","240,749","240,597","246,142","247,480","249,635","251,705","252,938","255,248","257,800","256,433","260,111","256,583","257,453","259,465","255,854","254,926","251,793","245,060","250,904","249,439","247,976","248,571","249,159","250,327","252,723","253,884","254,163","254,872","255,233","261,157","261,513","262,802","267,376","265,619","266,723","269,767","268,913","271,421","272,336","272,377","278,112","281,677","285,642","289,708","293,132","291,341","297,876","300,124","299,170","304,722","307,230","312,734","315,374","319,402","322,149","327,237","325,135","328,368","330,294","328,884","336,059","343,101","345,676","345,540","351,845","353,641","355,520","358,736","355,349","361,392","362,738","365,931","368,885","372,768","375,141","375,976","377,292","383,140","388,693","394,226","395,552","399,810","407,646","409,638","415,291","421,997","422,752","422,374","415,667","413,108","416,138","420,503","423,230","427,867","428,353","433,772","436,881","434,800","436,110","438,502","442,076","443,771","442,589","444,795","447,377","450,833","455,691","460,842","465,008","465,113","470,166","473,964","477,111","476,998","478,812","484,838","488,782","490,115","489,652","490,821","495,745","503,370","513,363","515,555","518,528","523,136","525,335","528,569","527,820","529,944","531,047","530,970","531,085","514,377","475,019","554,846","553,899","556,290","541,658","555,035","552,478","556,775","557,138","548,617","552,742"
"Durable goods","7,346","7,769","8,474","8,275","9,009","8,992","8,727","9,337","9,374","9,955","9,673","10,584","10,944","10,871","11,365","11,027","11,608","12,459","12,626","12,967","13,528","12,561","13,606","13,781","13,494","14,535","14,236","14,056","14,639","14,950","15,439","15,865","16,689","16,249","16,314","16,674","15,546","15,685","16,341","15,750","16,171","17,432","18,507","19,973","19,577","20,773","21,115","22,815","24,704","24,504","24,784","25,715","27,030","27,305","27,268","25,117","26,755","27,594","29,220","31,167","28,627","30,810","29,976","31,795","31,765","30,613","30,949","31,598","31,510","32,731","33,202","32,723","33,839","33,696","34,333","33,790","33,491","31,411","33,525","34,014","34,758","34,520","32,493","33,030","30,143","29,975","29,667","30,315","31,601","33,484","34,945","36,034","37,899","38,369","38,881","40,233","41,268","43,521","45,005","46,528","46,671","45,990","47,940","46,551","47,906","50,008","50,234","51,395","52,476","52,984","53,224","53,842","52,913","55,071","52,476","52,837","54,274","52,031","51,363","50,631","48,131","51,971","51,330","49,261","49,893","49,849","50,595","50,870","50,424","50,633","51,188","51,143","52,419","52,678","52,343","54,848","52,800","52,660","54,300","54,248","54,471","54,866","55,502","58,775","60,178","61,917","63,513","67,064","63,168","66,758","67,218","66,943","69,324","69,728","72,419","73,608","75,200","76,242","78,544","75,477","77,508","78,510","78,103","82,580","85,049","85,736","85,344","87,773","87,785","88,947","91,191","87,496","90,004","90,568","91,370","92,706","94,130","95,583","96,272","96,019","98,772","100,801","103,624","104,617","105,131","109,291","108,601","111,123","116,500","116,103","115,392","109,208","106,398","109,302","112,943","115,069","115,189","114,492","116,832","118,760","116,545","117,768","117,678","120,724","123,226","120,884","120,710","121,224","123,803","127,398","127,956","127,904","128,929","133,000","135,684","135,875","133,366","135,328","139,200","141,962","142,690","141,269","141,449","144,608","149,665","153,250","153,812","154,525","156,302","157,398","157,174","157,504","158,109","157,553","157,327","156,394","138,667","121,457","167,221","166,825","165,061","160,702","159,769","159,282","162,337","156,482","153,788","159,033"
"Semi-durable goods","10,174","10,087","10,253","10,578","10,831","11,130","11,002","11,130","11,056","11,362","11,426","11,470","11,743","11,449","11,912","12,183","11,945","12,157","12,701","12,880","13,095","13,356","12,949","12,714","13,103","13,455","13,307","14,020","13,690","14,051","14,104","14,122","14,759","14,774","14,961","14,866","15,206","14,912","15,295","15,633","15,515","15,955","16,445","17,120","17,164","18,127","18,475","18,625","19,262","19,395","19,701","20,358","21,040","21,477","21,651","21,299","21,891","22,203","23,008","23,243","23,660","24,662","24,675","25,117","25,073","24,616","25,257","25,549","25,727","26,016","26,555","26,791","27,240","27,371","27,568","27,537","27,327","27,417","27,892","28,214","28,692","28,410","28,350","28,450","27,307","27,315","27,255","27,241","27,905","27,834","28,392","28,699","29,157","29,954","29,867","30,182","30,377","30,813","31,467","32,035","31,834","32,710","33,148","33,234","33,059","33,451","33,628","34,187","33,556","33,778","34,167","34,524","34,032","34,653","34,535","34,287","34,936","34,272","33,991","33,562","31,456","32,118","31,715","32,014","31,701","31,764","32,221","32,650","32,801","33,099","33,163","33,115","33,589","33,949","34,799","35,475","35,949","36,167","36,286","35,541","36,090","36,282","36,369","36,699","37,325","37,349","38,285","38,049","39,464","39,564","39,986","39,747","40,395","40,832","41,453","41,458","42,298","42,610","43,663","43,869","44,315","45,178","44,748","45,949","47,055","47,379","46,997","47,946","48,777","49,218","49,430","49,360","50,559","50,941","51,769","51,656","52,925","53,691","53,656","54,685","56,621","57,642","58,453","58,936","60,428","60,911","62,167","62,574","63,268","64,358","64,827","64,669","63,603","63,643","63,837","63,984","66,945","66,512","67,894","68,543","68,621","68,770","69,588","70,759","71,412","70,868","71,903","72,153","72,818","72,896","74,642","75,915","74,887","76,249","77,115","77,666","77,858","78,954","79,475","80,780","81,102","80,168","79,975","80,388","81,721","83,763","84,495","85,195","86,200","86,243","87,162","87,112","87,673","88,615","88,386","88,759","80,597","68,922","89,983","87,737","89,643","85,728","99,026","99,083","97,753","102,976","99,116","98,108"
"Non-durable goods","81,802","84,303","85,310","84,588","87,533","87,422","87,526","89,034","90,104","90,625","91,757","92,132","93,584","94,605","95,668","97,196","97,648","98,940","100,364","102,622","101,469","103,678","105,609","105,359","107,673","109,368","110,410","110,861","111,389","110,486","112,522","113,668","115,488","115,523","116,690","119,399","119,233","120,184","123,297","128,535","125,360","128,549","130,403","132,495","134,044","135,155","134,683","138,087","139,073","141,303","141,630","143,408","148,042","147,021","148,299","147,445","149,070","150,765","150,522","151,821","152,627","153,982","155,427","157,685","154,447","156,247","159,241","160,978","161,936","161,429","160,241","162,124","164,437","163,923","163,576","163,736","165,132","166,202","167,140","167,119","166,299","164,713","166,670","167,496","166,806","165,198","164,653","161,629","162,411","163,001","163,627","164,993","163,622","166,065","164,862","166,571","168,379","167,059","170,034","170,358","167,749","170,123","172,266","171,170","168,882","171,686","172,707","172,505","174,396","174,715","176,590","178,180","178,915","178,800","178,955","179,882","178,889","179,194","179,603","177,580","176,720","176,880","176,740","177,602","177,903","178,599","178,107","179,926","181,808","181,318","181,228","181,830","186,422","185,816","186,500","186,992","187,324","188,577","189,524","189,813","191,678","191,856","190,716","192,020","193,168","195,277","196,221","195,183","196,836","199,064","200,431","200,080","202,117","203,872","205,422","206,819","207,943","209,213","210,271","211,938","212,150","211,676","211,234","211,490","214,634","216,219","217,182","219,790","220,674","220,637","221,001","222,199","224,098","224,362","225,815","227,572","228,418","228,214","228,324","228,783","229,386","231,729","233,357","233,003","235,198","238,130","239,601","242,241","242,425","242,412","242,260","242,108","243,700","243,661","244,029","244,406","245,800","247,530","249,110","249,565","249,675","249,591","251,254","250,592","249,132","250,838","252,183","254,000","254,214","255,401","258,253","261,195","261,290","260,999","261,303","263,693","265,890","264,639","266,265","266,142","266,422","268,341","269,529","270,839","272,018","276,380","277,287","278,854","280,686","281,736","284,283","283,261","284,228","284,976","285,338","286,022","294,844","284,201","297,198","298,792","301,164","294,699","296,795","294,725","297,047","298,652","296,279","296,080"
"Services","104,868","105,402","107,430","109,077","108,234","109,083","109,188","109,775","110,565","111,981","113,199","114,214","115,926","116,815","118,284","119,074","120,036","122,347","123,605","125,858","126,701","128,367","129,980","130,494","130,843","130,626","130,520","135,157","137,317","137,811","140,524","142,843","144,621","144,259","145,675","146,524","145,648","147,631","148,414","147,387","147,262","151,701","153,782","154,164","154,948","157,694","159,367","160,230","163,588","164,451","165,709","167,415","169,654","171,017","171,426","173,125","175,641","176,675","179,151","180,534","184,242","187,449","189,570","191,875","193,278","193,844","196,143","196,940","199,192","199,745","201,016","201,102","202,419","202,933","202,913","205,073","207,892","209,018","211,198","212,397","211,600","213,616","213,190","212,354","213,340","211,388","210,741","210,807","213,242","215,384","217,024","218,560","220,671","221,290","222,242","226,400","228,502","229,904","233,695","235,311","237,111","240,845","242,247","245,681","251,303","253,442","256,696","260,104","261,036","267,659","268,481","272,654","278,444","281,582","283,857","286,677","293,203","290,227","291,362","293,020","288,670","291,444","292,659","297,688","296,979","298,576","300,328","299,703","301,556","303,496","306,739","308,015","311,521","312,011","313,201","315,165","316,798","320,104","323,273","324,169","329,646","329,417","331,371","335,974","342,123","342,822","347,042","347,966","350,578","352,018","353,291","355,789","359,266","362,979","365,316","369,285","372,716","375,987","379,703","383,228","385,763","384,866","388,108","389,397","392,959","399,447","401,159","402,154","404,396","409,242","413,170","418,294","422,484","425,075","429,218","432,682","440,064","444,774","449,527","456,229","462,023","463,944","467,708","475,431","478,880","484,240","490,715","501,643","502,043","502,329","503,278","498,819","498,529","503,462","509,147","512,788","518,617","526,178","528,467","534,100","537,924","540,944","542,532","544,983","548,996","551,332","555,212","558,140","561,035","565,534","567,988","570,269","573,617","578,096","581,936","586,435","588,551","591,942","594,002","597,671","597,031","601,679","608,041","611,480","616,070","621,007","629,053","633,260","636,482","640,262","643,918","644,533","648,619","649,724","654,815","662,719","651,840","529,605","581,695","585,661","589,108","597,389","638,416","644,714","646,558","673,209","680,610","682,731"
"Non-profit institutions serving households' final consumption expenditure","2,796","2,924","3,020","3,048","3,144","3,300","3,460","3,588","3,624","3,720","3,724","3,756","3,756","3,756","3,820","3,984","4,048","4,052","4,116","4,244","4,336","4,336","4,464","4,492","4,364","4,460","4,396","4,332","4,208","4,084","4,148","3,984","4,044","4,104","4,268","4,236","4,304","4,368","4,340","4,436","4,344","4,564","4,728","4,636","4,932","4,912","5,076","5,204","5,020","5,004","5,220","5,480","5,536","5,992","5,716","5,756","5,792","5,880","6,048","6,084","6,232","6,416","6,468","6,596","6,616","6,744","6,596","6,576","6,672","6,724","6,944","7,112","7,368","7,752","7,568","7,752","7,908","7,808","7,892","8,332","8,660","8,479","8,314","8,157","7,859","7,718","7,749","7,757","7,749","7,615","7,600","7,608","7,129","7,223","7,262","7,411","7,953","8,039","7,843","7,977","8,117","7,965","8,090","7,883","7,616","7,665","7,523","8,014","8,286","8,276","8,286","8,581","8,690","8,919","9,126","9,181","9,666","10,058","10,309","10,418","10,669","10,881","11,105","11,274","11,450","11,633","11,715","11,786","11,806","11,771","11,715","11,588","11,359","11,420","11,486","11,654","11,715","11,944","12,244","12,482","12,869","13,296","13,967","14,832","16,092","16,781","16,892","16,898","16,641","16,425","16,641","17,213","17,949","18,696","19,245","19,374","19,385","19,520","19,852","20,331","20,168","20,384","20,798","21,248","21,873","22,719","22,846","22,937","22,304","22,235","21,926","21,389","21,145","20,778","21,150","21,538","22,081","22,362","22,692","23,043","23,351","23,426","23,298","23,325","22,555","22,739","22,868","23,424","24,169","25,055","25,389","25,462","25,167","24,349","23,343","22,915","23,133","23,429","23,608","24,302","24,743","24,983","25,316","25,308","25,284","25,541","25,681","25,706","26,264","26,428","26,176","26,040","25,568","25,760","26,132","26,588","26,400","27,044","27,332","28,168","29,000","30,024","30,036","29,688","29,652","29,644","29,900","29,996","30,224","30,688","30,548","30,844","31,016","31,140","31,692","32,372","32,640","30,220","31,472","32,464","31,672","31,752","32,400","33,052","33,112","33,608","33,812","33,844"
"General governments final consumption expenditure","89,485","89,859","93,551","92,959","93,810","97,340","95,907","97,397","99,286","99,206","101,313","101,899","107,577","105,688","104,944","107,955","109,578","110,051","111,470","113,878","116,277","119,729","122,627","126,434","126,609","132,109","132,832","134,257","135,560","138,314","142,081","144,624","144,364","147,234","147,389","149,803","155,337","161,165","157,480","160,793","158,241","163,974","166,687","169,038","165,707","168,294","172,063","174,932","174,592","176,492","177,429","184,422","183,263","188,237","191,000","193,589","195,196","201,814","204,150","203,965","203,117","205,459","204,395","206,656","210,451","214,799","213,233","214,842","214,369","215,774","216,111","216,486","215,987","218,995","217,181","218,626","220,022","222,813","225,985","225,065","226,086","225,644","228,400","229,023","227,096","229,417","231,372","232,030","228,008","232,247","234,691","234,951","235,525","235,617","238,350","241,401","245,043","247,146","245,224","251,311","251,448","249,805","252,281","251,338","253,441","255,383","253,618","256,790","259,827","262,243","263,429","263,507","264,498","268,144","271,279","270,901","276,173","272,898","278,930","282,035","280,573","285,842","283,773","285,992","286,448","284,842","284,780","289,354","286,590","287,809","284,483","284,253","280,111","283,659","283,926","282,456","282,129","281,299","279,023","276,474","276,675","276,650","272,432","271,820","274,021","271,988","272,550","272,490","279,818","276,951","278,004","277,260","280,344","282,139","286,621","286,996","290,253","293,451","294,821","296,621","300,418","304,199","305,065","305,484","307,604","308,862","311,908","314,277","317,724","318,851","319,677","322,190","324,271","323,685","326,346","328,112","326,357","327,512","329,367","333,031","334,368","337,932","339,026","341,158","342,521","344,123","348,920","349,041","352,166","359,854","359,725","364,937","364,979","367,834","369,790","372,821","376,161","375,733","377,064","379,675","379,986","381,420","383,086","383,925","384,431","383,387","385,762","385,500","381,463","379,767","381,670","384,018","385,121","383,683","383,860","382,696","387,912","388,318","390,569","389,488","392,681","396,863","396,786","397,626","401,743","402,064","404,948","408,714","412,730","416,819","418,296","421,250","419,086","418,474","421,814","425,861","425,704","409,343","432,037","439,951","449,278","452,926","455,362","458,519","461,843","459,143","464,544","467,362"
