YEAR,no_people,no_people_scaled,no_income,no_income_scaled,tot_income,tot_income_scaled,avg_income,avg_calc_income,median_income
1977,17153,17153000,1057,1057000,29528,29528000000,27900,1721.44814318195,13800
1978,17487,17487000,1132,1132000,34250,34250000000,30300,1958.5978155201,15500
1979,17857,17857000,1275,1275000,34870,34870000000,27300,1952.73562188497,13700
1980,18235,18235000,1424,1424000,37197,37197000000,26100,2039.86838497395,12300
1981,18573,18573000,1383,1383000,38189,38189000000,27600,2056.15678673343,13600
1982,18861,18861000,1468,1468000,34995,34995000000,23800,1855.41593764912,11000
1983,19107,19107000,1407,1407000,36363,36363000000,25800,1903.12450934213,12200
1984,19350,19350000,1578,1578000,37075,37075000000,23500,1916.02067183463,10100
1985,19592,19592000,1608,1608000,40311,40311000000,25100,2057.52347897101,11300
1986,19851,19851000,1550,1550000,40754,40754000000,26300,2052.99481134452,12100
1987,20130,20130000,1631,1631000,46361,46361000000,28400,2303.07998012916,14500
1988,20409,20409000,1610,1610000,41735,41735000000,25900,2044.93115782253,11900
1989,20701,20701000,1721,1721000,47831,47831000000,27800,2310.56470701898,13100
1990,21041,21041000,1787,1787000,45027,45027000000,25200,2139.96483056889,12100
1991,21318,21318000,1814,1814000,47293,47293000000,26100,2218.45388873253,12000
1992,21608,21608000,1917,1917000,45944,45944000000,24000,2126.24953720844,10200
1993,21842,21842000,1920,1920000,47786,47786000000,24900,2187.80331471477,12200
1994,22140,22140000,1982,1982000,50739,50739000000,25600,2291.73441734417,12000
1995,22417,22417000,2235,2235000,58886,58886000000,26300,2626.84569746175,12100
1996,22741,22741000,2333,2333000,55004,55004000000,23600,2418.71509608197,10400
1997,23007,23007000,2325,2325000,59906,59906000000,25800,2603.81622984309,11300
1998,23231,23231000,2532,2532000,52369,52369000000,20700,2254.27230855323,8300
1999,23533,23533000,2634,2634000,64757,64757000000,24600,2751.7528576892,10100
2000,23892,23892000,2639,2639000,65969,65969000000,25000,2761.13343378537,10000
2001,24207,24207000,2746,2746000,68162,68162000000,24800,2815.79708348825,9700
2002,24517,24517000,2697,2697000,75174,75174000000,27900,3066.19896398417,10600
2003,24848,24848000,2837,2837000,71768,71768000000,25300,2888.2807469414,9600
2004,25179,25179000,2938,2938000,75120,75120000000,25600,2983.43857976886,9600
2005,25583,25583000,2837,2837000,73445,73445000000,25900,2870.85173748192,10400
2006,25822,25822000,2918,2918000,63628,63628000000,21800,2464.10037952134,7900
2007,26195,26195000,2889,2889000,65828,65828000000,22800,2512.99866386715,9100
2008,26590,26590000,2939,2939000,73915,73915000000,25200,2779.80443775856,10500
2009,26941,26941000,2987,2987000,69551,69551000000,23300,2581.60424631602,9800
2010,27371,27371000,3160,3160000,71276,71276000000,22600,2604.07000109605,9000
2011,27708,27708000,3070,3070000,70828,70828000000,23100,2556.22924787065,9200
2012,27982,27982000,2900,2900000,59409,59409000000,20500,2123.11485955257,8700
2013,28377,28377000,3049,3049000,62305,62305000000,20400,2195.6161680234,8200
2014,28524,28524000,3139,3139000,66702,66702000000,21200,2338.45183003786,9400
2015,28829,28829000,2978,2978000,61843,61843000000,20800,2145.16632557494,8400
2016,29166,29166000,2954,2954000,59248,59248000000,20100,2031.40643214702,8800
2017,29601,29601000,3094,3094000,59563,59563000000,19300,2012.19553393466,7900
2018,30022,30022000,3296,3296000,62478,62478000000,19000,2081.07387915529,7100
2019,30517,30517000,3264,3264000,58902,58902000000,18000,1930.13730052102,7200
2020,30730,30730000,3362,3362000,57173,57173000000,17000,1860.49463065408,4800
2021,31145,31145000,3176,3176000,60795,60795000000,19100,1951.9987156847,5100
