YEAR,no_people,no_people_scaled,no_income,no_income_scaled,tot_income,tot_income_scaled,avg_income,avg_calc_income,median_income
1977,17153,17153000,14544,14544000,600263,600263000000,41300,41272.2084708471,33200
1978,17487,17487000,14813,14813000,624360,624360000000,42100,42149.4633092554,33600
1979,17857,17857000,15393,15393000,637500,637500000000,41400,41414.9288637692,33300
1980,18235,18235000,15934,15934000,671414,671414000000,42100,42137.1909125141,33200
1981,18573,18573000,16476,16476000,679828,679828000000,41300,41261.7140082544,33000
1982,18861,18861000,16806,16806000,676231,676231000000,40200,40237.4747114126,31500
1983,19107,19107000,17039,17039000,673663,673663000000,39500,39536.5338341452,29800
1984,19350,19350000,17472,17472000,687606,687606000000,39400,39354.739010989,29800
1985,19592,19592000,17858,17858000,716037,716037000000,40100,40096.1473849255,30600
1986,19851,19851000,18137,18137000,739279,739279000000,40800,40760.8204223411,31300
1987,20130,20130000,18580,18580000,760600,760600000000,40900,40936.4908503768,31700
1988,20409,20409000,18968,18968000,794349,794349000000,41900,41878.3741037537,33100
1989,20701,20701000,19341,19341000,829862,829862000000,42900,42906.8817537873,34100
1990,21041,21041000,19661,19661000,824253,824253000000,41900,41923.2490717664,32800
1991,21318,21318000,19756,19756000,805726,805726000000,40800,40783.8631301883,31200
1992,21608,21608000,19997,19997000,816263,816263000000,40800,40819.2728909336,31200
1993,21842,21842000,20385,20385000,804882,804882000000,39500,39484.0323767476,30400
1994,22140,22140000,20634,20634000,823983,823983000000,39900,39933.2654841524,30300
1995,22417,22417000,20971,20971000,839879,839879000000,40100,40049.5446092223,30700
1996,22741,22741000,21435,21435000,853072,853072000000,39800,39798.0872404945,29600
1997,23007,23007000,21816,21816000,871070,871070000000,39900,39928.0344701137,29800
1998,23231,23231000,22317,22317000,919969,919969000000,41200,41222.7898014966,30300
1999,23533,23533000,22577,22577000,955915,955915000000,42300,42340.2134916065,31300
2000,23892,23892000,23006,23006000,998261,998261000000,43400,43391.3326958185,31700
2001,24207,24207000,23323,23323000,1029046,1029046000000,44100,44121.5109548514,32700
2002,24517,24517000,23765,23765000,1045851,1045851000000,44000,44008.0370292447,32600
2003,24848,24848000,24044,24044000,1054754,1054754000000,43900,43867.6592912993,32400
2004,25179,25179000,24400,24400000,1089117,1089117000000,44600,44635.9426229508,32800
2005,25583,25583000,24872,24872000,1117457,1117457000000,44900,44928.3129623673,33100
2006,25822,25822000,25151,25151000,1138234,1138234000000,45300,45256.0136773886,33600
2007,26195,26195000,25562,25562000,1188667,1188667000000,46500,46501.3300993663,34700
2008,26590,26590000,26038,26038000,1223610,1223610000000,47000,46993.2406482833,34700
2009,26941,26941000,26227,26227000,1228730,1228730000000,46900,46849.811263202,34800
2010,27371,27371000,26589,26589000,1248759,1248759000000,47000,46965.2487870924,34700
2011,27708,27708000,26905,26905000,1270312,1270312000000,47200,47214.718453819,35200
2012,27982,27982000,27257,27257000,1312484,1312484000000,48200,48152.1810910959,35900
2013,28377,28377000,27568,27568000,1349550,1349550000000,49000,48953.4968078932,36700
2014,28524,28524000,27902,27902000,1379608,1379608000000,49400,49444.7709841588,37200
2015,28829,28829000,28148,28148000,1399730,1399730000000,49700,49727.5117237459,37000
2016,29166,29166000,28437,28437000,1404257,1404257000000,49400,49381.3341773042,37200
2017,29601,29601000,28935,28935000,1468466,1468466000000,50800,50750.5097632625,38100
2018,30022,30022000,29475,29475000,1497173,1497173000000,50800,50794.673452078,38400
2019,30517,30517000,29867,29867000,1517413,1517413000000,50800,50805.6718116985,39100
2020,30730,30730000,30322,30322000,1609095,1609095000000,53100,53066.9151111404,40900
2021,31145,31145000,30635,30635000,1653973,1653973000000,54000,53989.6523584136,41200
